"druh","pocet"
"Bat",3242
"Raccoon",955
"Rabbit Sh",450
"Guinea Pig",375
"Opossum",333
"Skunk",199
"Squirrel",137
"Fox",136
"Rat",113
"Hamster",73
"Ferret",61
"Californian",59
"Snake",33
"Turtle",30
"Lionhead",30
"Cold Water",30
"Coyote",27
"Rex",24
"Rabbit Lh",21
"Lizard",18
"Tortoise",18
"Lop-Holland",17
"English Spot",17
"Havana",15
"New Zealand Wht",13
"Lop-English",13
"American",12
"Netherlnd Dwarf",12
"Armadillo",11
"Lop-Mini",10
"Mouse",10
"Chinchilla",8
"Dutch",7
"Gerbil",7
"Tarantula",6
"Flemish Giant",5
"Hedgehog",5
"Hotot",5
"Angora-French",5
"Rex-Mini",4
"Cinnamon",4
"Lop-Amer Fuzzy",4
"Sugar Glider",4
"American Sable",3
"Polish",3
"Cottontail",3
"Angora-English",2
"Angora-Satin",2
"Ringtail",2
"Harlequin",2
"Lop-Mini/Lop-Holland",2
"Checkered Giant",2
"Otter",2
"Himalayan",2
"Chinchilla-Stnd",2
"Belgian Hare",2
"Jersey Wooly",2
"Chinchilla-Amer",2
"Snake/Python",2
"Silver",1
"Rex-Mini/Lop-English",1
"Britannia Petit",1
"Dutch/Rabbit Sh",1
"Hermit Crab",1
"Deer",1
"Beveren",1
"Dutch/Angora-Satin",1
"Bobcat",1
"Tropical",1
"Snake/Snake",1
"Frog",1
"Rabbit Sh/Lop-Mini",1
"Prairie Dog",1
"Dwarf Hotot",1
"Rex/Lop-English",1
"Rhinelander",1
